Business Name,Phone
"Padaria Ria Pão","234 424 361"
"Pastry Flor de Aveiro","234 343 342"
"Pastelaria Rossio","234 424 653"
"Flor São Bernardo","234 343 993"
"DOCE MOLICEIRO","234 426 776"
"Pastelaria Vera Cruz","234 045 907"
"Confeitaria Peixinho","916 490 676"
"Pastelaria Veneza","915 835 565"
"Arte Doce","234 381 103"
"Ria Parque","234 420 006"
"Venepão","234 426 972"
"Pastelaria Duquesa","234 423 575"
"Flôr Quinta do Picado","234 383 800"
"Doce Aveiro","234 420 259"
"Olho d'Ouro","234 185 587"
"Padaria Lusitana","234 342 680"
"Maximus Hair Club","938 771 775"
"STUDIO SP - Aveiro","938 234 126"
"Hairtz","910 529 165"
"Studio Ana's Cabeleireiros & Extensões Mega Hair Premium - Aveiro Portugal","936 998 975"
"Jean Louis David Aveiro","234 244 636"
"Urban Studio Cabeleireiros Centro de Estética","234 421 799"
"Susana Lopes - Hairstylist","234 386 136"
"Eighty One","914 714 800"
"Félix Cabeleireiros, Lda.","234 313 569"
"Espaço da Beleza Paula Duarte","910 026 594"
"Dream.Aveiro Beauty Studio - Cabeleireiro Aveiro","915 791 039"
"Luxus Hairstylist","925 658 379"
"Helder Pereira Cabeleireiros","926 248 617"
"Jeily D'Arc Concept","961 056 185"
"Sector C","234 428 098"
"Beautē - Hair, Makeup & Self Care","932 047 411"
"Cláudia Oliveira Studio Hair","924 713 808"
"Iluminar Hair & Beauty","913 809 718"
"Magno's Visagist Style","914 148 015"
"""Cais da Beleza""","234 056 701"
"Estação BarberShop | Cortes de Cabelo e Barba","914 029 124"
"Holy BarberShop (ant. Rony Barbershop 5 Bicas)","234 096 053"
"Champions barber shop","911 772 480"
"The Point Barber Studio","910 640 871"
"Aveiro’s BarberShop","912 240 577"
"Barber Shop António E Mané","234 428 889"
"Camazo Barbershop","924 711 734"
"Don Juan Barbearia","910 587 649"
"The Royal Barber Shop","918 733 275"
"O Barba | Barbearia","914 852 650"
"80's Barbearia","965 332 186"
"1920 BarberShop - Aveiro Center","234 112 276"
"Barber shop Arcos Unipessoal Lda","234 382 195"
"Forja barbearia","926 770 782"
"Spartan Barbearia Aveiro","960 327 603"
"Black Gold Barber Academy","924 680 555"
"Barbearia Sr Reis | Aveiro","934 308 319"
"Espaço Santiago - Aveiro","938 162 855"
"Fada Studio | Beauty Bar Aveiro","300 505 149"
"MarinaStar.nails","934 677 249"
"Studio Gabriela Clemente - Nail Designer","912 025 329"
"Nails 21 Aveiro","966 915 324"
"Pureskin","966 499 787"
"Ju Nails Aveiro","928 148 887"
"My Beauty Point Aveiro","911 749 043"
"Pink Moments.PT - Centro de Estética By Leska","929 053 702"
"Intention Concept Portugal","914 446 942"
"IdaNails - Aveiro","912 626 564"
"Fly Studio Sp","234 423 908"
"Feel You - Centro de Estética e bem estar","914 521 244"
"E'Nails by Erika Delgado","916 553 468"
"Geane Dias Nails","928 054 027"
"Priscila Sabag - Designer de Unhas","911 085 498"
"Stúdio Ju Nogueira","914 035 023"
"Perfeit'Olhar Aveiro","911 156 543"
"Bem-Me-Quer","964 530 408"
"Jéssica Campos Beauty Academy","932 042 447"
"Beatriz Pratas Beauty Salon","927 434 323"
"Sofiya Beauty Lab","961 916 670"
"Pestanas Aveiro - Karina Bonicelli Beauty","915 858 191"
"PROUD by Harmony - Medicina Estética","234 133 333"
"Model in clinic | Onde Saúde & Beleza se encontram","932 483 581"
"Aveiro SPA","234 092 187"
"Liliana Vila Verde","932 717 201"
"The Clinique","912 062 958"
"AestheticLab boutique by Cosmetolog Viktoriia Smirnova","07 77 59 04 14"
"Salão Estética e Beleza Vera Cardoso","911 903 380"
"BodyConcept Aveiro","969 290 469"
"Pamella Laine - Beauty and Wellness | Esteticista em Aveiro | Limpeza de pele | Microagulhamento | Drenagem Linfática","961 858 844"
"Giselle Reixach | Beauty & Academy","912 002 457"
"Body Luxury Clinic","234 323 214"
"Katiana Ferreira Centro de Estética","915 529 397"
"Murad Clinic — Harmonização Facial e Medicina Estética","915 069 023"
"Silhueta Sublime - Clinica de Saúde e Estética Avançada","916 799 372"
"ÔLinda Estética e Bem Estar","926 511 005"
"Moments SPA Aveiro","234 245 630"
"Massage Therapy Aveiro - Namaste Massagem Aveiro","910 770 877"
"Salinário - Cale do Oiro","915 661 480"
"Elements","911 771 388"
"Champa Thai Massage","910 847 099"
"Clínica Essenza Aveiro. Saúde e Bem-estar","928 308 257"
"Ganna Massagem","914 812 392"
"Quinto Fit & Spa","913 814 189"
"Lumina Spa Aveiro","912 088 426"
"In Gold Hotel & Spa","234 690 170"
"Essencia- Saúde e Bem Estar","967 943 423"
"Beauty Flowers Spa","928 253 981"
"Restaurante Solar do Bacalhau","239 098 990"
"Restaurante Sete","919 138 777"
"Terraço Da Alta","927 318 578"
"Arcada Comes e Bebes","919 274 191"
"A Cozinha da Maria","911 533 126"
"Restaurante O Palco","938 451 205"
"Coisas DA LENA","912 002 238"
"Restaurante Nacional","239 829 420"
"Restaurante Tapas nas Costas","239 157 425"
"Dux Taberna Urbana","239 093 723"
"Italianino","939 651 086"
"Restaurante Refeitro da Baixa","963 704 038"
"Restaurante No Tacho cozinha portuguesa","911 925 961"
"Bresca Coimbra","967 635 585"
"Restaurante O Mimo - Prato do dia","239 823 341"
"Passaporte Coimbra","239 600 138"
"Restaurante Maria Portuguesa","925 344 924"
"Boutique - Tapas & Petiscos","916 181 770"
"Calma Tavern","239 820 213"
"Restaurante Tasquinha da Saudade","916 382 177"
"La Piccola Cucina Italiana Pizza E Pasta","920 452 766"
"Pizzaria Mia Bella","239 157 320"
"Pizzaria Eurotropico","239 484 904"
"Da Vinci l'arte della pizza","934 202 873"
"Restaurante Il Tartufo","239 820 546"
"Restaurante Osteria 44","910 588 187"
"La Piccola Cucina Italiana Pizza E Pasta Coimbra","920 675 389"
"La Divina's Pizzeria","239 093 914"
"Fixe Pizza","239 066 936"
"Divone Pizzaria","935 662 843"
"Pizzeria da Al Pachino","935 555 332"
"A Variante","239 963 886"
"Star Kebab & Pizza Coimbra 🍔🍕🍗🍻☕️","920 024 035"
"Mr.Pizza","239 826 666"
"Tarantella Coimbra","967 285 366"
"Mr.Pizza","239 703 777"
"Mr.Pizza","239 810 044"
"Allô Pizza / Allô Grill","239 840 400"
"Café Santa Cruz","239 833 617"
"Nau Coffee - Specialty Coffee & Brunch","934 775 638"
"Galeria Bar Santa Clara","239 441 657"
"Salatina - Brunch Restaurant","239 723 181"
"Café Avenida","239 715 609"
"Hey Sunday - Brunch Restaurant","239 440 009"
"Kroisant - Brunch Restaurant","239 152 004"
"Café Concerto Coimbra","918 154 381"
"Café Rynok","939 204 696"
"Café Restaurante Nicola de Coimbra, Lda","239 094 066"
"Cafetaria Coimbra Doce","239 836 115"
"Cafetaria Mónaco","239 403 206"
"Briosa Coimbra","239 821 617"
"Café Atenas","239 826 867"
"Zaza Café Bar","918 080 804"
"Café S. José","239 402 190"
"O Nosso Café","239 712 187"
"The Murphy's Irish Pub","239 829 307"
"Quebra Bar","239 841 174"
"What's up Doc Bar","916 737 611"
"Cabido Bar, Lda.","239 842 377"
"Coimbra Ó Porto","915 392 824"
"Noster Taberna & Wine Bar","911 735 293"
"Liquidâmbar","962 489 489"
"Piano Negro","918 361 594"
"Pinto","239 821 270"
"Bar Wellcome","912 773 651"
"Arco Bar","239 041 193"
"Claustro Bar","239 041 416"
"Loop","912 838 337"
"Pregos & Co | Restaurant & Cocktail Bar","924 882 183"
"ibis Coimbra Centro","239 852 130"
"Stay Hotel Coimbra Centro","239 855 500"
"Hotel Mondego","239 496 239"
"Hotel Oslo Coimbra","239 829 071"
"ZERO Box Lodge Coimbra","966 290 815"
"Solar Antigo Luxury Coimbra","969 374 875"
"Hotel Vitória","239 824 049"
"Casa São Bento","239 006 919"
"Hotel Coimbra Aeminium, Affiliated by Meliá","239 480 800"
"Pharmacia Guest House","969 007 551"
"Hotel Quinta das Lágrimas","239 802 380"
"Avenue Garden GuestHouse (AL) - Suítes","960 260 600"
"Hotel Astória","239 853 020"
"Hotel NH Coimbra Dona Inês","239 855 800"
"B&B HOTEL Cantanhede Coimbra","231 410 220"
"Hotel Botânico Coimbra","239 405 124"
"Five Senses Hostel","960 265 526"
"Riversuites","239 440 582"
"COIMBRA CITY CHARM","913 489 001"
"Moderna","239 825 413"
"Coimbra Portagem Hostel","239 600 134"
"Change The World Hostels - Coimbra - Almedina","914 389 808"
"HI Coimbra – Pousada de Juventude","239 829 228"
"Serenata Hostel & Suites","931 920 121"
"Guest House Santa Clara - Coimbra","936 961 479"
"Guesthouse Coimbra City","239 825 400"
"Jantesta Guest House","967 708 102"
"NN Guest House","913 079 746"
"Vila Julieta Guesthouse","962 037 884"
"Guest House Infante Dom Henrique","239 822 142"
"GUESTHOUSE A. L. Lusa Atenas","239 826 412"
"Quarto & Pasta Guesthouse","913 303 723"
"Arco Iris","239 833 304"
"Pastelaria Vénus","239 483 697"
"Pastelaria Penta","239 823 571"
"Pastelaria Universidade","239 070 126"
"Afonso","239 781 057"
"Café Confeitaria Doce Meu","239 133 998"
"Moinho Velho","964 793 645"
"Pastelaria Visconde","239 094 471"
"Pastel do Dani","239 431 193"
"Avô Martinho","239 981 524"
"Pastelaria Sirius - Coimbra","239 823 207"
"Padaria Pastelaria Sabor E Arte","239 046 398"
"Pastelaria Serenata","239 152 715"
"Café Pastelaria Toledo","239 837 720"
"Flôr de Santa Apolónia","239 430 649"
"Padaria Pastelaria Flor da Espadaneira lda","239 440 868"
"Nostra Confeitaria","239 197 706"
"Bakery Pastry Conchada Flower Lda","239 825 059"
"Celas Hair Studio","239 077 187"
"Glamstudio Cabeleireiro by Daniela Marques Coimbra","910 767 746"
"Iva Cabeleireira | Especialista em Cachos","965 189 980"
"Fernando Polidoro - Studio Glow","917 496 039"
"STUDIO T HAIR CONCEPT","968 847 571"
"Luana Araújo Salão Brasileiro","935 125 249"
"HD&GS By Corinne Vieira","239 913 354"
"Jean Louis David Fórum Coimbra","239 812 838"
"Kátia Scerbika Hair Studio","913 252 212"
"Guilherme Lucas Cabeleireiros","918 383 952"
"Ilídio Design Cabeleireiros","239 701 516"
"Eric Stipa by Nela Cabeleireiros","239 701 464"
"Fabi Jordão Creative Salon","932 106 056"
"Ancora Piu Bella Beauty Center","910 036 675"
"MM SPA - CABELEIREIRO, ESTÉTICA, SPA E HEADSPA","932 077 800"
"Maísa Santos Hair Stylist","927 676 729"
"Top Style","919 876 268"
"Essência do fio, cabeleireiro, Lda","965 818 324"
"Studio Soul Cachos","934 827 693"
"Gonçalo Santos Barber Shop","915 873 855"
"Barbearia Lorde Coimbra","919 105 074"
"Barbearia Bagaça - Santa Clara","931 871 076"
"O Truque barbearia em coimbra","931 766 453"
"MR Barbearia","916 382 237"
"São José Barber Shop","932 166 982"
"Barbearia Bagaça","933 282 992"
"Barbearia Douglas Barber","961 377 816"
"Prime Cut","913 012 661"
"Chosen - Barbershop & Lifestyle","932 694 532"
"Worlds Barbershop","918 789 756"
"Duomo Barbearia - Barber Shop","966 932 788"
"Cortes de Lisboa Forum Coimbra","925 652 312"
"Cabral Barbershop | Barber in Coimbra","915 471 970"
"Mais Cortes Barbearia e Bar","912 960 317"
"Barbearia Saudade - Barber Shop","964 889 448"
"Icarosbarbershop","931 150 726"
"Sant Barbershop","916 162 075"
"Barbearia Império Breves","936 020 653"
"Nay Unhas","966 483 332"
"️ Magic Studio - Nails | Beauty | Academy","910 248 003"
"Fabianne Rodrigues | Academy & Beauty Center","935 186 769"
"Studio Amanda Gaspar Nails","912 548 851"
"Jéssica Machado Nails","922 234 641"
"Jessica Ferreira nails academy PT","915 604 300"
"YourNailsEstudio","911 787 222"
"Nails4'Us","913 266 668"
"BrunaSantosBella.Nails","935 401 583"
"Hnhitnails Coimbra","912 610 003"
"Sarah Oliveira Nails","910 852 506"
"Gloss Beauty Studio, Shop & Academy by Estela Correia","910 062 430"
"R Beauty Studio","963 326 543"
"RALEXA - Nails & Treading","913 601 324"
"Unhas D'Encanto","919 225 724"
"DANTAS-ESMALTERIAEBELEZA","913 473 747"
"Daiane Esmaltação em Gel","966 344 747"
"Studio Gi Vieira Beauty, Salão de unhas em Coimbra","920 347 888"
"Meraki Nails Studio","915 567 721"
"Nany Stein - Estheticare","968 169 717"
"Elegance Beauty","930 685 768"
"Marticarluxos - Spa e Cabeleireiro","920 051 670"
"Wonderlab Beauty studio","917 843 230"
"Camila Luzio - Beauty Studio","911 080 147"
"SUSPIRO BEAUTY LOUNGE","918 306 140"
"EWELLIN JORDÃO BEAUTY ACADEMY | Maquilhagem | Sobrancelhas | Facial | Labios | Extensão de Pestanas em Coimbra","910 375 956"
"Work to the Beauty","917 700 000"
"Beauty Wellness","961 378 829"
"Pricila Martins Beauty","964 574 174"
"Satsanga Spa Coimbra","934 876 576"
"Índigo, Centro De Estética E Spa Urbano, Unipessoal Lda.","916 488 982"
"Zenestetika","968 620 521"
"Dermstetik Coimbra","915 254 196"
"Be.U Skincare Clinic Coimbra","916 869 697"
"Candida Teixeira Estética Profissional Unipessoal Lda.","239 484 180"
"I Love Beauty","918 029 434"
"Studio Mariana Domanski Essence Beauty","912 245 463"
"BodyConcept Coimbra","239 098 527"
"Argania SPA & Beauty","936 122 861"
"Alessandra Gomes - Estética","927 069 159"
"Dermofashion, Lda","239 089 895"
"Myface Clinic - Coimbra","911 114 749"
"Purity Life - massagista Gonçalo Nuno","961 411 006"
"LifeStyle SPA","929 254 636"
"Lux Yang Therapy - Wellness Center Natur & Medical SPA","239 406 004"
"Massagem Coimbra - Harmony Waves","925 305 031"
"Massagem Coimbra - Jessy Campos Massoterapeuta","939 034 228"
"VOGA Momentos SPA","239 724 562"
"Termas Urbanas","239 810 119"
"Spa flor de lótus","916 723 372"
"ENIGMA SPA","938 148 052"
"Ayurveda spa Sara Ferreira","933 967 441"
"TERMAS DE LUSO","231 937 910"
"Di-Anna Centro De Estética E SPA em Coimbra","938 069 834"
"Greko Spa","910 929 109"
"Soraia Gonçalves Massagens","912 434 331"
"Naturawell Massages Coimbra","927 453 875"
"Restaurante Volta e Meia","233 418 381"
"Restaurante Bijou","233 434 447"
"Olaias Restaurante","937 408 125"
"Puro","912 439 030"
"Restaurant Bar Casa Havanesa","233 094 697"
"Gastrobar Acrópole","233 047 535"
"Tasca Maria - Comida Caseira","915 643 278"
"Restaurante e AL Caçarola Dois","233 426 930"
"Zagallo Steakhouse","912 770 583"
"Pregaria do Bairro","233 096 175"
"Restaurante Caçarola I","911 842 423"
"Restaurante Trinta e Dois","919 061 521"
"Feito ao Bife","961 621 839"
"A Grega","233 420 665"
"Joia","936 204 335"
"CaRRoSSeL","233 431 457"
"Picadeiro Petisqueira Moderna","928 078 053"
"Mare Nostrum","233 436 401"
"O Palheiro","913 896 060"
"Restaurante O Forninho","233 043 275"
"Pizzaria Ratolas","233 413 141"
"Pizzaria Luzzo","233 098 079"
"Gusto Pizza by Gusto DiVino","233 044 674"
"Pizzaria ""Il Camino""","233 415 289"
"Zeff Pizza","233 096 420"
"Domino's Pizza Figueira da Foz","21 010 9109"
"Pizzeria Claudio","233 427 072"
"Pizzeria TRANOI","917 961 705"
"Telepizza Figueira da Foz","233 423 505"
"Pizaria Os Sabores da Itália","914 165 003"
"Mr.Pizza","233 045 625"
"Pizzeria Encontro","233 042 114"
"Prime Coffee","911 060 147"
"A Casa da tia","233 099 574"
"Cookie House","918 328 237"
"Cafe Mercado Restaurant","913 147 861"
"Café D'el Mar","968 560 047"
"Conecta Açaí & Coffee","937 871 532"
"Café Bamboo - Snack-Bar e Pastel Brasileiro","911 575 992"
"Lotus - Cafetaria da Bina","910 895 393"
"Café Praça 18","914 418 757"
"Pastelaria e cafeteria 'Rainha'","233 429 275"
"A Pharmácia","233 094 536"
"Café São João","965 834 975"
"Dionisio","233 411 809"
"Sunset","233 412 378"
"Café Snack-Bar Mendes","969 669 781"
"El Caffe","233 434 080"
"Maresia Bar","233 433 360"
"Cocktail Bar","938 343 540"
"Shark's Irish pub","233 099 277"
"LP Bar","233 048 105"
"JET7.5 FOOD&DRINKS PRAÇA DO FORTE","912 921 062"
"Spasso Praia","233 101 203"
"Maktub Bar","963 742 395"
"Burgus - Burger & beer","233 079 033"
"Locomia Shisha & Club Figueira da Foz","928 437 406"
"Má Língua Gastrobar","912 272 022"
"Hotel Atlântida Sol","233 421 997"
"FIGUEIRA DA FOZ B&B HOTEL","233 408 190"
"Costa de Prata I","233 426 620"
"Eurostars Oasis Plaza","233 200 010"
"THE FOZ Beach Hotel","919 884 411"
"Hotel Aviz","233 422 635"
"Universal Boutique Hotel","233 090 110"
"Costa de Prata II","233 422 082"
"Vila Gale Collection Figueira da Foz","233 200 060"
"Malibu Foz Hotel","233 101 300"
"Marina Charming House","233 420 027"
"Salmanha Residence","925 882 017"
"Exe Wellington","233 426 767"
"FONTE DA FOZ","233 098 320"
"Central Guest House","233 422 308"
"Casa Pinha","919 176 153"
"Residencial Sao Juliao","233 428 123"
"FigueiradaFoz","233 422 701"
"Meeting Hostel","919 200 705"
"Hostel 402","937 708 679"
"Sport Hostel Figueira da Foz","910 732 144"
"Paintshop Hostel","916 678 202"
"UAU Hostel","932 022 521"
"Dude Beach Hostel","928 135 212"
"Mini Hostel FigueiraMar","964 915 790"
"Casa Da Figueira Da Foz","963 178 659"
"Hospedaria Areia da Foz","233 046 116"
"Hospedaria Sãozinha","233 425 243"
"GUEST HOUSE 10deAgosto","965 529 283"
"Casa Flamingo","966 447 779"
"CASA DAS ANCORAS","964 180 773"
"Green Wave Hostel","939 320 846"
"Alojamento Local Manuel da Parreira","233 422 483"
"Pensao Bela Figueira","233 429 960"
"Hospedaria Chez Odete","233 427 462"
"Buarcos Luxury Guest House","964 456 178"
"Puzzle Suites B&B","916 140 138"
"Bacharéis Charming House","928 118 877"
"Vila Branca","935 370 739"
"Hotel Aliança","233 422 197"
"Pastelaria Relógio","233 420 187"
"Bakery and Pastry Santa Maria","233 420 032"
"Império","233 422 465"
"Conchinha Doce","233 434 875"
"Doce Pecado - Snack","233 413 378"
"Pastelaria Delcar","233 094 949"
"Flôr de Canela","233 422 786"
"São Pedro","233 431 318"
"Irina & Bolos","963 476 587"
"Pastelaria Simples Cortesia","233 041 131"
"Pastelaria Rainha","233 427 100"
"Pastelaria Flor Da Gala Lda","233 431 929"
"Croissanteria da Praia","233 425 130"
"Restaurante, Come Come Salgados, Figueira da Foz.","937 592 410"
"Figueira Bar - Pastelaria, Lda.","233 424 173"
"A Nau Pastelaria Restaurante","233 415 023"
"Afhios","233 426 264"
"Meiri Gomes Studio Hair","960 262 743"
"Salão Bairrista","913 245 282"
"Gold Hair 8","233 424 071"
"Gabrielle Hairstylist","910 633 334"
"Gi Giríssimas","917 321 199"
"LUSH STUDIO","916 994 465"
"Inga Hair & Beauty Studio","967 955 289"
"Cabeleireiro Salão Brasil - Figueira da Foz","233 429 140"
"Salão Chapéu","233 422 836"
"Variações Hair & Body","916 245 492"
"Arizla Studio","939 147 412"
"Salão do Mercado","964 964 383"
"Krespo's Cabeleireiro","925 224 831"
"VINTAGE SALON","966 405 512"
"Visual Up","233 096 996"
"RUBENYVAN","928 289 740"
"Eduarda Cabeleireiros","233 420 205"
"Espaço VIP Cabeleireiro Estética","916 112 181"
"Coco's cabeleireiro - Elisabeth jorge","912 010 577"
"Barbershop “Error 404”","932 861 998"
"Barbearia Peixoto FIGUEIRA","233 435 137"
"Barber Club 31","910 090 622"
"Brazah Barbearia","931 426 788"
"Romerobarber","936 565 576"
"Barbearia Afonso","925 470 371"
"Barbearia/Salão Du'art","935 580 375"
"Monteiro barbershop","963 345 172"
"Barbearia Figueira da Foz by Men'sAura","233 070 860"
"Salão Modelo","233 429 714"
"Barbeiro Bravo","939 520 931"
"Génesis Studio - Tattoo & Barber","920 447 494"
"Studio Gilbert Oliveira","233 049 545"
"Barbearia 2000","233 098 115"
"Barbearia Moderna","233 424 260"
"A Barbeira DG Hairstylist","967 686 713"
"Barbearia S. Pedro by Luigi Amaro","968 667 902"
"Salão Forum","233 426 687"
"Barbearia Martinho","963 255 062"
"Orquidea Cabeleireiros Barbershop -Estética.","960 257 577"
"Luciana Nails Pt 🇧🇷🇵🇹 / Manicure e pedicure","933 646 462"
"Raquel Ribeiro Nail Designer","913 791 576"
"OKSI nails bar","914 141 558"
"Studio SóniaNails","932 242 587"
"Velvet studio","968 003 891"
"Natalia Nail Designer Manicure Brasileira Figueira da foz","935 829 202"
"Menina Dos Olhos - Figueira da Foz","967 582 888"
"Vitória Moura Nails Design","963 690 708"
"Kika Sousa - Figueira da Foz","968 117 681"
"Alice Oliveira Master Nail Designer","927 199 719"
"Benedita Beauty Lounge","913 507 860"
"Estúdio Bellevue Cristiana Catarro Unhas e Pestanas","965 769 100"
"Ateliê das unhas ACP","914 267 575"
"Jacqueline Sillis Nails","967 872 889"
"SandraLavoura.beautynails Especialista em pele madura|Desidratada e Luminosidade/Unhas de Gel","966 088 795"
"Centro de Estética Beatriz Ferreira","963 571 739"
"Sandra Valente | Clínica De Estética Avançada","918 528 709"
"Gabinete de Estética - L'esthétique","963 170 039"
"Beijamim Aesthetic Clinique","928 121 883"
"Viviana Dallot Makeup & Beauty","936 257 327"
"Beauty & Essence","233 431 340"
"Climage - Beleza, Estética e cuidados pessoais .","937 164 515"
"Foz Essência","930 455 297"
"Tânia Andrade - Centro Integrado de Bem Estar (Bella Dona)","961 023 123"
"Espaço T.U.A","960 009 447"
"Ju Estetica","924 065 341"
"Marina Wellness - Massagens e Terapias","910 921 595"
"Nartachê Santos | Massagem Terapêutica","932 048 736"
"Esthetic Medical Dental Corporation","937 612 692"
"Liz Beauty Concept","233 429 293"
"Ambery Spa Oasis Plaza","922 237 948"
"Hotel Sweet Atlantic SPA","233 408 900"
"Spaso Bem Estar SPA","924 266 695"
"Dymotion – Massagens & Terapias Energéticas","911 858 101"
"PADME HUM, Saúde e bem-estar","961 603 595"
"Massagem e Drenagem linfática","910 473 180"
"Ginásio Health Club Portugal","233 418 105"
"LomiLomi","935 472 518"
"Bem-Estar Joana","960 427 420"
"Quinta d'Anta - Hotel Rural","964 994 515"
"Mata Bicho Real Taverna","244 821 723"
"João Gordo","244 881 483"
"Casinha Velha","244 855 355"
"Taberna Nova","917 843 792"
"Matilde Noca","244 856 073"
"Vista Bistrô & Restaurante","936 954 145"
"Luna","244 815 977"
"Restaurante Montecarlo ""Salvador""","244 825 406"
"Restaurante Culinaris","913 253 025"
"Restaurante Atlas Leiria","917 460 810"
"Restaurante Ao Largo","244 205 521"
"Restaurante A Toca","244 832 221"
"Restaurante Decanto","934 698 821"
"Muralhas","244 032 138"
"Taberna do Anastácio","244 837 263"
"Restaurante Hotel Rural Casa da Nora","244 891 189"
"Restaurante Olive","912 648 946"
"Ferro em Brasa","244 215 996"
"Restaurante Tasca 7","962 238 621"
"Mr.Pizza","244 812 111"
"Pizzaria Manjerona Botequim | Capuchos","244 892 044"
"Pizzaria Sanremo","244 826 400"
"Pizzeria Rossini","244 811 310"
"SABOR & SPICES","923 176 322"
"Pizzaria Il Piccolo Mondo","244 833 587"
"PIZARISTA","244 130 299"
"Pizza 365& Kebab","935 795 866"
"Forno&Cia","244 217 678"
"Pizzaria Manjerona Botequim | Gândara","244 835 205"
"Mr.Pizza","244 813 666"
"Telepizza Leiria","244 822 892"
"Pizza Hut Leiria Centro","22 244 4222"
"Pizzaria Costa Verde","912 772 630"
"Minha Pizza Favorita","244 044 514"
"2P's-pizzas e petiscos","244 801 184"
"PiazzaFiamma","938 445 554"
"Brasuka Pizzaria e Restaurante","964 219 455"
"Mr.Pizza","244 246 176"
"Café 32","244 841 168"
"Casulo","913 988 831"
"Garden Café Leiria","244 824 226"
"Grand Esplanada café Leiria","961 674 596"
"Café Académico de Leiria","913 843 495"
"Café Ponto de Encontro - Café do Lelo","244 049 722"
"Square Cafe","918 795 459"
