Business Name,Email
"Tantra massage Ines Silva","massag.social@gmail.com"
"Sabaidee Thai massage Nazaré","info@sabaidee.pt"
"Clínica BeSublime","geral@besublime.pt"
"Hotel Cristal Praia Resort & SPA","booking3@hoteiscristal.pt"
"Restaurante Paulo - Tipicamente Moderno","varalongafernando@gmail.com"
"Queijaria Prado da Sicó, LDA","geral@pradodasico.pt"
"As Laranjeiras","info@expoclick.net"
"CIAOO BELLA","info@ciaoobella.eatbu.com"
"Café Belita, Lda","info@cafebelita.com"
"Café Alambique","info@alambique.000webhostapp.com"
"Pastelarias Diogo","info@berbis.pt"
"Padaria e Pastelaria Sicópão Melga","info@sicopao.pt"
"Banco Montepio | ATM","gestaoreclamacoes@bancomontepio.pt"
"Confeitaria Vale, Lda.","info@confeitaria-vale.com"
"Café Martins","info@cafemartins.pt"
"Pastelaria D. João","info@pastelariadjoao.pt"
"Brutu's Barber Shop","geral@brutusbarbershoptomar.com"
"Ginásio Pulse - Pombal","geral@ginasiopulse.pt"
"Ansiturismo - Alojamento","geral@ansiturismo.com"
"Eden Spa","info@juicyoasis.com"
"Acquavilla","reservas.acquavilla@gmail.com"
"Baloiço Soure - Brunhós","geral@cm-soure.pt"
"Restaurante KALIFOOD","kalifoodferrel@gmail.com"
"Surfers Lodge Restaurant","booking@surferslodgepeniche.com"
"Tiger Belly Restaurant & Bar","info@mytigerbelly.com"
"Restaurante ClubHouse Bom Sucesso","info@bomsucessoresort.pt"
"The Legend Restaurant - Golf Clubhouse","info@royalobidos.com"
"Maria Batata Restaurante","info@riodoprado.pt"
"Luciano Cafes & Specialty Coffee","geral@lucianocafes.com"
"Club House West Cliffs","info@westcliffs.com"
"Maria dos Cacos - Restaurante e Bar, Caldas da Rainha","info@19tile.pt"
"CAIS DO PARQUE . Garden Restaurant - Bar . Caldas da Rainha","info@caisdoparque.com"
"Restaurante Vale Velho","geral@restaurantevalevelho.pt"
"Cobalt Restaurante","info@evoluteehotel.com"
"Balcão 48","info@cervejariabalcao48.pt"
"DAREMA Waffle Bubble - Caldas da Rainha (Lucky Flavor)","info@daremabubble.com"
"The Green Room - Restaurante","reservations@storytellerspalace.com"
"São Martinho Bistrot","info@saomartinhobistrot.com"
"Pizzeria do Carmo Peniche","info@pizzeriadocarmo.pt"
"Capesante D'Oro","info@capesantedoro.pt"
"Pizzaria Va Bene Nazaré","info@pvb.eatbu.com"
"Cegonha Caffe & Brunch","info@cegonhacaffe.pt"
"Ti Justina","Moto.twin1@hotmail.com"
"Espaço Ó - Espaço de Ativação Comunitária","geral@espaco-o.com"
"Welsh Snack Bar","office@TROLLmedia.pt"
"Ténis Bar","annatenisbar@gmail.com"
"Bar # 1","info@bar1peniche.com"
"RocoStar","Rocostarcafe@gmail.com"
"Ti’Piedade","geral@tipiedade.com"
"LETRARIA Óbidos","geral@cervejaletra.pt"
"Tôa Tôa Gelataria Bar","info@toatoafoz.com"
"Cabaret Voltaire Lounge","info@cabaretvoltairelounge.com"
"O Trombone","info@otrombone.pt"
"Quinta da Vida Serena B&B - Guesthouses","info@quinta-serena.com"
"Nail'd It by Marta ""The Beauty Bar""","nailditbymarta@gmail.com"
"NAZARE SHISHA LOUNGE","info@nazare.2m-shisha-lounge.pt"
"Padaria Pastelaria Poense","info@padariapoense.pt"
"Bijou Pâtisserie","info@pastelaria-bijou.pt"
"O Pão Quente - Ana & Carlos Pinheiro Lda","info@opaoquente.blogspot.pt"
"Quarteto Doce - Fabrico e Comércio de Doces Regionais","info@quartetodoce.com"
"Wine shop ""Quinta dos Loridos""","visitas@alianca.pt"
"Panificadora Regional da Vermelha","info@paovermelha.com"
"Bolos e Ideias","info@example.com"
"Europão 3","info@ementaonline.pt"
"Padaria Modelo da Benedita","geral@padariamodelo.pt"
"Fabrica de Cavacas das Caldas - Confeitaria Monte Verde lda","info@cavacasdascaldas.com"
"Doces da Carla II, S.A. (Fábrica)","geral@docesdacarla.pt"
"Vários Sabores - Produtos Alimentares, S.A.","geral@variossabores.com"
"Ana Saramago Hairdressers","info@anasaramagocabeleireiros.pt"
"Loja Dos Penteados","geral@lojadospenteados.pt"
"Na Cadeira de Bárbara Lacerda - Especialista em madeixas | Extensão Capilar","info@nacadeiradebarbaralacerda.com"
"Luis Sousa Hair Style","info@luis-sousa-hair-style.buk.pt"
"Barbearia Literária","info@barbearia-varandas.buk.pt"
"Ludiany Sampaio Beauty Salon","ludianylopes18@gmail.com"
"Madam´s Beauty Salon","madamsbynazare@gmail.com"
"Kalyan Spa","info@praia-del-rey.com"
"RIDE Surf Resort & Spa","booking@ridesurfresort.com"
"Hospital Termal Rainha D. Leonor","info@termascentro.pt"
"Alto da Garça - Prime Villas & Spa","user@example.com"
"Bagos do Vilar","info@bagosdovilar.pt"
"Sóis Montejunto Eco Lodge","info@soisecolodge.com"
"All About Beauty & Health","info@allaboutbeauty.pt"
"Domus Center | Spa, Head Spa, Estética, Cabeleireiro & Bem-Estar","info@domuscenter.pt"
"Balance - Caldas da Rainha","info@balance.pt"
"Restaurante O Larana","laranarestaurantegeral@gmail.com"
"BBQ Grill Mendonça","info@cm-bombarral.pt"
"Em Banho Maria","embanhomaria@live.com.pt"
"Pátio da Vila - Ferrel","info@patiodavila.pt"
"Biofrade - A Loja da Horta | Lourinhã","info@biofrade.com"
"C’Italian","info@citalian.pt"
"Bar Portal","santaritasurfschool@gmail.com"
"Ponto de Encontro Beach Bar Surf School & Rentals Surf","info@balealsurferspoint.com"
"A Tendinha","info@atendinha.pt"
"Pastelaria Roma","comercial@casadosovosmolesemlisboa.pt"
"Pan & Past - Produtos De Panificação E Pastelaria, Unipessoal Lda","info@shop.panepast.pt"
"Barbearia Central","info@municipiosefreguesias.pt"
"Barbershop gotham","geral@gothambarbershop.com"
"Miriã Almeida Cabeleireiro - estética","miriaalmeida54473@gmail.com"
"BNAILS Beauty Salon • HEAD SPA • UNHAS • LASER","geral.bnails@gmail.com"
"AR Country House","info@arcountryhouse.com"
"Resort Rural Quinta do Carrascal","info@quintacarrascal.com"
"Entre Vinhas & Mar AgroTurismo","info@entrevinhasemar.com"
"Essência Day Spa, Lda","info@essenciadayspa.pt"
"Bukubaki Eco Surf","info@bukubaki.com"
"West 23 by Chakall","chakall@chakall.com"
"Dom Lourenço Grill","reservas@domlourenco.com"
"Restaurante/Marisqueira Conchamar","geral@conchamar.pt"
"O Moleiro. Restaurante snack bar","info@restauranteomoleiro.com"
"StormBorn - ConceptStore and BurguerHouse","info@stormbornstore.com"
"Babel's Kebab","info@babelskebab.com"
"Picanha Gaúcha","picanhagauchaferrel@gmail.com"
"Ocean and Sun Restaurant","berlengabedbreakfast@gmail.com"
"Villa Brunch Café","info@villabrunchcafe.pt"
"Casa do Benfica de Peniche","benfipeniche@hotmail.com"
"Ossiano's Restaurante Tapas Bar","info@canva.com"
"Shark's Lodge","hello@sharkslodge.com"
"Atoubal Padaria, Lda","geral@atoubal.pt"
"Calé - Portuguese Traditional Confectionery","comercialcale@gmail.com"
"Natas D’Ouro - Peniche","info@natasdeouro.pt"
"Baker & Baker Portugal SA","email@domain.com"
"Barbearia Don Barbudo","info@don-barbudo.buk.pt"
"Old West Barbershop","info@oldwestbarbershop.buk.pt"
"Kristine Lux Academy","info@kristinelux.net"
"Inesperado","info@inesperado.pt"
"Restaurante Arcada Da Hortênsia","info@restaurantguru.com"
"Pizza Burguer","info@pizzaburguer.pt"
"Tasca do Carril","info@tasca-do-carril.iehours.com"
"O Cavalo do Sorraia","info@ocavalodosorraia.com"
"Galinha da Vizinha - Santarém","5deoutubro@galinhadavizinha.pt"
"Central Santarém","geral@central-santarem.pt"
"Batista Tapas Bar","info@portuguesewhisky.com"
"Sem Pressa - Bistro & Bar","info@sempressa.pt"
"RESTAURANTE AZINHEIRA","info@restauranteazinheira.com"
"""Terroir"" Almeirim","baka@sapo.pt"
"Espaço Una","info@unabelezacartaxo.buk.pt"
"Loja das Tradições","info@lojadastradicoes.com"
"Myiced Santarém","info@myiced.com"
"Albufeira dos Patudos","info@cm-alpiarca.pt"
"Welcome To Bar","posto.turismo@welcome-to.pt"
"Mamma Mia","info@mammamia.pt"
"Rosabella Pastelaria","rosabellapastelaria@gmail.com"
"Meu Super Benfica do Ribatejo","info@meusuper.pt"
"Mestre Salsa","support@webador.com"
"Pani Borges","geral@paniborges.com"
"Cabeleireiro Nelita","info@cabeleireironelita.pt"
"Salão ""O Zé"" Cabeleireiro","info@movalmeirim.pt"
"Verónica Patrícia Cabeleireiro","vpsfigueiredo@gmail.com"
"Sandra Costa Cabeleireiro","info@styluson.pt"
"BEE Barbershop","tmdspereira@gmail.com"
"DepilConcept - Cartaxo","info@depilconcept.pt"
"Scape Health & Sensations","scape@enfis.pt"
"Valle dos Reis","Valledosreis@enfis.pt"
"Taverna 1488","info@almadozezere.com"
"Refeitório Quinhentista by Heaven's Sleepy","info@heavens.pt"
"Quinta das Carrascosas","info@quintadascarrascosas.com"
"Alpendre","info@restaurante-alpendre.com"
"Sabores da Albufeira","info@valemanso.com"
"Hotel República Restaurante","booking@hotelrepublica.pt"
"Água na Boca","aguanaboca2@gmail.com"
"ADN Bistrot - Restaurante","adntomar@gmail.com"
"Maven Cafe","YOU@EMAIL.COM"
"Cervejaria Caxarias - Restaurante","cervejariacaxarias@manjarcentral.pt"
"PizzaBox","geral@pizzabox.pt"
"Abrantes Pasta Pizza & Kebab","info@abrantespastapizzaandkebab.com"
"Café Restaurante Sopadel","cafesopadel@gmail.com"
"Cafe Tendinha","info@cafetendinha.com"
"Clube Edp - Delegação de Castelo do Bode","clubeedp.dn@edp.pt"
"Centro Recreativo e Musical De Outeiro Grande","crmouteirogrande@gmail.com"
"TomarPadel","tomarpadel@gmail.com"
"100 Montaditos Tomar","attcliente@gruporestalia.com"
"ESTETICISTA Sandra Leal Torres Novas","info@sandraestetica.webnode.pt"
"Cabeleireiros Contraste","info@cabeleireiroscontraste.pt"
"LÉO BARBER","seu@email.com"
"BodyConcept Torres Novas","tnovas@bodyconcept.pt"
"BodyConcept Abrantes","abrantes@bodyconcept.pt"
"Quinta de São Pedro de Tomar","info@quintadesaopedrodetomar.com"
"Estalagem de Santa Iria","info@estalagemsantairia.pt"
"Villa Rey Hotel & Spa","geral@villareyspahotel.com"
"Spa do Pet","geral@spadopet.pt"
"Juicy Oasis","oasis@juicemasterretreats.com"
