Business Name,Email
"Nails 21","info@nails21.com"
"Fada Studio | Beauty Bar","info@fadastudio.pt"
"Idanails","info@360porto.com"
"Ju Nails","info@pt.zappysoftware.com"
"Musa Beauty Studio","musabycatarina@gmail.com"
"Unhas Em | Cleide Pereira","info@cleidepereiraunhas.netlify.app"
"Salão Estética E Beleza Vera Cardoso","veraluciacardoso3108@gmail.com"
"Jéssica Campos Beauty Academy","info@adesignershop.com"
"Pink Moments.pt","info@is.gd"
"Murad Clinic — Harmonização Facial E Medicina Estética","andre.martins@lavva.pt"
"Aestheticlab Boutique By Cosmetolog Viktoriia Smirnova","info@cosmetologviktoriia.com"
"Model In Clinic | Onde Saúde & Beleza Se Encontram","modelin@modelinclinic.com"
"Proud By Harmony","info@hdharmony.com"
"The Clinique","geral@thecliniqueaveiro.pt"
"Giselle Reixach | Beauty & Academy","info@gisellereixach.com.br"
"Hd Harmony","geral@hdharmony.com"
"Js Beauty E Academy","info@you.zappysoftware.com"
"Body Luxury Clinic","geral@bodyluxury.pt"
"Spa","info@aveirospa.com"
"Ganna Massagem","388fe63e6063cc241ca2a1b0f52622a3@o61919.ingest.us.sentry.io"
"Ms Collection","booking@maarlab.com"
"Quinto Fit & Spa","ginasiov@hotelafonsov.pt"
"Massage Therapy","namastespapt@gmail.com"
"Moments Spa","arouca.spa@mscollection.pt"
"Termas De Luso","geral@termasdeluso.pt"
"Clínica Essenza . Saúde E Bem-estar","contato@bemestar.com"
"Champa Thai Massage","info@champathaimassage.net"
"Salinário","info@caledooiro.com"
"In Gold Hotel & Spa","rececao@ingoldhotel.pt"
"Templo De Gaya","email@website.com"
"Terraço Da Alta","reservas@terracoalta.com"
"Restaurante Sete","seterestaurante@gmail.com"
"Restaurante Nacional","info@restaurantenacional.pt"
"Restaurante O Palco","info@o-palco.pt"
"Restaurante Dux","duxpetiscos@duxrestaurante.com"
"Restaurante O Mimo","restauranteomimo@gmail.com"
"Restaurante No Tacho Cozinha Portuguesa","contato@exemplo.pt"
"Restaurante Tasquinha Da Saudade","tasquinhasaudade@gmail.com"
"Pizzaria Mia Bella","geral@miabellapizza.pt"
"Fixe Pizza","info@fixepizza.net"
"Pizzaria Eurotropico","eurotropico@gmail.com"
"Restaurante Osteria 44","info@osteria44.com"
"Tarantella","info@tarantellacoimbra.pt"
"Bresca","info@bresca.pt"
"Salatina","info@salatina.pt"
"Hey Sunday","info@heysunday.pt"
"Kroisant","info@beacons.ai"
"Café Santa Cruz","geral@cafesantacruz.com"
"Cafetaria Doce","pastelariacoimbra.doce@gmail.com"
"Briosa","encomendaspastelariabriosa@gmail.com"
"Piano Negro","lemonadoedrapeado@gmail.com"
"O Moelas","info@omoelas.pt"
"Passaporte","geral@passaporte.pt"
"Casa Das Caldeiras","info@casacaldeiras.com"
"Bar 5° Andar","info@hoteloslo-coimbra.pt"
"Zero Box Lodge","press@thezerohotels.com"
"República Guest House","geral@republicaguesthouse.pt"
"Solar Antigo Luxury","solarantigo@gmail.com"
"Stay Hotel","coimbra@stayhotels.pt"
"Ibis","H1672@accor.com"
"Casa São Bento","purus@purus.pt"
"Hotel Mondego","info@hotelmondego.com"
"Pharmacia Guest House","geral@pharmaciaguesthouse.pt"
"Hotel Vitória","reservas@hotelvitoria.pt"
"Hotel Oslo","geral@hoteloslo-coimbra.pt"
"B & B Hotel Cantanhede","hotel.cantanhedecoimbra@hotelbb.com"
"Avenue Garden Guesthouse","info@avenuegarden.pt"
"Hotel Astória","astoria@almeidahotels.pt"
"Hotel Aeminium","info@melia.com"
"Five Senses Hostel","info@r3service.pt"
"Sapientia Boutique Hotel","hello@sapientiahotel.com"
"Hotel Quinta Das Lágrimas","info@quintadaslagrimas.pt"
"Hotel Botânico","geral@hotelbotanicocoimbra.pt"
"Casa Das Tílias","info@hoteisnew.com"
"Hi – Pousada De Juventude","coimbra@movijovem.pt"
"Penedo Da Saudade","stay@penedodasaudade.pt"
"Serenata Hostel & Suites","info@serenatahostel.com"
"Ww Hostel & Suites","reservas@hoteisweb.com"
"Guesthouse City","coimbracity.al@gmail.com"
"Vila Julieta Guesthouse","info@vilajulieta.com"
"Guest House Santa Clara","booking@hoteisweb.com"
"Quarto & Pasta Guesthouse","info@hoteisfinder.com"
"Nostra Confeitaria","geral@linktr.ee"
"Pastelaria Visconde","info@pastelariavisconde.shop"
"Avô Martinho","scardoso@espacodecontas.pt"
"Fernando Polidoro","geral@beacons.ai"
"Celas Hair Studio","contacto@linktr.ee"
"Glamstudio Cabeleireiro By Daniela Marques","glamstudio@danielamarques.pt"
"Mm Spa","contact@linktr.ee"
"Gonçalo Santos Barber Shop","info@goncalosantosbarber.pt"
"São José Barber Shop","reservas@linktr.ee"
"Cabral Barbershop | Barber In","info@treatwell.pt"
"Barbearia Bagaça","info@barbeariabagaca.com"
"Barbearia Da","info@buk.pt"
"Barbearia Lorde","info@tinyurl.com"
"Barbearia Saudade","geral@barbeariasaudade.pt"
"Prime Cut","contato@primecut.pt"
"Barbearia Douglas Barber","info@sites.appbarber.com.br"
"Sant Barbershop","moisescocacola.ms@gmail.com"
"Barbearia Bagaça","geral@barbeariabagaca.com"
"Ducado Barbearia","info@ducadobarbearia.buk.pt"
"️ Magic Studio","info@magic-studio.pt"
"Dantas-esmalteriaebeleza","rafaelad807@gmail.com"
"Su Estética Profissional","info@wa.me"
"Ralexa","geral@you.zappysoftware.com"
"Gloss Beauty Studio","booking@linktr.ee"
"Laroo Beauty & Care","info@laroo-beauty-care.vercel.app"
"Nails4'us","geral@nails4us.com"
"Unhas D'encanto","info@anamiranda.pt"
"Suspiro Beauty Lounge","info@suspirobeautylounge.pt"
"Studio Gi Vieira Beauty","studiogv.atendimento@gmail.com"
"Camila Luzio","info@sites.google.com"
"Pricila Martins Beauty","geral@wa.me"
"Elegance Beauty","contacto@eleganceshop.pt"
"Be.u Skincare Clinic","hi@beu.care"
"I Love Beauty","8c4075d5481d476e945486754f783364@sentry.io"
"Di-anna De Estética E Spa Em","di-anna@esteticacoimbra.pt"
"Bodyconcept","coimbra@bodyconcept.pt"
"Argania Spa & Beauty","contacto@you.zappysoftware.com"
"Esteticbeauty","contact@you.zappysoftware.com"
"Beauty Wellness","info@beauty-wellness.buk.pt"
"Alessandra Gomes","alessandralgomes13@gmail.com"
"Dermofashion","info@dermofashion.pt"
"Myface Clinic","info@myface.pt"
"Lux Yang Therapy","luciasilva@luxyangtherapy.com"
"Massagem","coimbramassagem@gmail.com"
"Purity Life","info@stitchcarmechanics.com"
"Voga Momentos Spa","info@vogamomentos.com"
"Ayurveda Spa Sara Ferreira","sarabiokosmetica@outlook.pt"
"Enigma Spa","novoenigmaspa@gmail.com"
"Restaurante Bijou","bijoufigfoz@gmail.com"
"Olaias Restaurante","geral@olaias.pt"
"Restaurante Caçarola I","geral@cacarola1.com"
"Pregaria Do Bairro","info@pregariadobairro.com"
"Restaurante Volta E Meia","geral@voltaemeia.com"
"Gastrobar Acrópole","info@esteurl.my.canva.site"
"Puro","restaurante@puro.com.pt"
"Restaurante E Al Caçarola Dois","info@cacaroladois.com"
"Cafe Mercado Restaurant","info@restaurantecafemercado.eu"
"Pizzaria Luzzo","dalalnawaz@yahoo.co.in"
"Pizzeria Claudio","info@pizzeriaclaudio.com"
"Domino's Pizza","info@dominospizza.pt"
"Gusto Pizza By Gusto Divino","geral@gustopizza.pt"
"Telepizza","geral@telepizza.pt"
"Mensa Restaurant","info@malibufoz.com"
"Onda Fresca","info@ondafresca.pt"
"Dionisio","info@padariadionisio.com"
"The Fogg Pub","lovelylevelunipessoal@gmail.com"
"Maresia Bar","info@maresiabar.com"
"Spasso Praia","geral@sites.google.com"
"Jet7.5 Food & Drinks Do Forte","info@jet7.com.pt"
"B & B Hotel","hotel.figueiradafoz@hotelbb.com"
"Hotel Atlântida Sol","reservas@atlantida-sol.com"
"Eurostars Oasis Plaza","recepcion@eurostarsoasisplaza.com"
"Hotel Sweet Atlantic Spa","atlantic@sweethotels.pt"
"Vila Gale Collection","portugal.reservas@vilagale.com"
"Costa De Prata Ii","hotel@costadeprata.com"
"Malibu Foz Hotel","geral@malibufoz.com"
"Universal Boutique Hotel","info@universalboutiquehotel.pt"
"The Foz Beach Hotel","geral@hoteisfinder.com"
"Exe Wellington","reservas@exewellington.com"
"Dona Maria Hotel","info@donamariahotel.pt"
"Casa Pinha","casapinha@hotmail.com"
"Uau Hostel","info@uauhostels.com"
"Fonte Da Foz","info@fontedafoz.com"
"Salmanha","info@hoteisdirect.com"
"Hotel Aviz","contacto@hoteisfinder.com"
"Hostel 402","info@hostel402.pt"
"Hospedaria Sãozinha","info@hospedariasaozinha.com"
"Sport Hostel","%20info@sporthostels.com"
"Casa Da","info@custojusto.pt"
"Paintshop Hostel","info@paintshophostel.com"
"Guest House 10deagosto","gh10deagosto@gmail.com"
"Dude Beach Hostel","ola@dudehostel.com"
"Hospedaria Areia Da Foz","geral@hoteisdirect.com"
"Hospedaria Chez Odete","contacto@sites.google.com"
"Casa Flamingo","info@booking.com"
"Nvidas Place","contact@hoteisfinder.com"
"Casa Das Ancoras","geral@hoteisnew.com"
"Vila Branca","info@vilabrancaguesthouse.com"
"Bacharéis Charming House","info@bachareis.com"
"Hotel Aliança","reservas@hotelalianca.net"
"Marina Charming House","info@marinacharminghouse.com"
"Puzzle Suites B & B","info@puzzle-suites-bb.figueira-da-foz.hotels-pt.net"
"Restaurante","info@come-come-salgados.ola.click"
"Cabeleireiro Salão Brasil","joana.lopes.networker@gmail.com"
"Salão Chapéu","salao_chapeu@hotmail.com"
"Arizla Studio","arizlastudio@gmail.com"
"Barbearia By Men'saura","geralmensaura@gmail.com"
"Brazah Barbearia","geral@sites.appbarber.com.br"
"A Barbeira Dg Hairstylist","geral@pt.zappysoftware.com"
"Raquel Ribeiro Nail Designer","reservas@you.zappysoftware.com"
"Alice Oliveira Master Nail Designer","contacto@wa.me"
"Natalia Nail Designer Manicure Brasileira","contact@wa.me"
"Menina Dos Olhos","info@lift.bio"
"Estúdio Bellevue Cristiana Catarro Unhas E Pestanas","contacto@pt.zappysoftware.com"
"Beijamim Aesthetic Clinique","beijamimclinique@gmail.com"
"Sandralavoura.beautynails Especialista Em Pele Madura|desidratada E Luminosidade/unhas De Gel","info@bio.site"
"Climage","info@climage.pt"
"Foz Essência","info.fozessencia@gmail.com"
"Tânia Andrade","contacto@belladona.pt"
"Gabinete De Estética","lesthetiqueff@hotmail.com"
"Marina Wellness","marina.carmo.r@gmail.com"
"Espaço T.u.a","gessika.madeira@hotmail.com"
"Nartachê Santos | Massagem Terapêutica","contact@sites.google.com"
"Esthetic Medical Dental Corporation","info@estheticdentalcorporation.pt"
"Mónica Baptista","geral@360porto.com"
"Ju Estetica","contacto@360porto.com"
"Padme Hum","info@padmehum.pt"
"Massagem E Drenagem Linfática","feedback@sheerme.com"
"Dymotion – Massagens & Terapias Energéticas","info@dymotion.online"
"Ambery Spa Oasis Plaza","info@amberyadvisors.com"
"Surya Ayurvédicas E Complementares","info@suryaterapias.weebly.com"
"Vista Bistrô & Restaurante","Vistarestauranteleiria@gmail.com"
"Mata Bicho Real Taverna","geral@matabicho.com"
"Casinha Velha","geral@casinhavelha.com"
"Restaurante Ao","info@aolargo.com"
"Restaurante Hotel Rural Casa Da Nora","geral@casadanora.com"
"Kuala","contacto@beacons.ai"
"Restaurante Culinaris","jhenriques1212@gmail.com"
"Muralhas","geral@muralhas.pt"
"Ferro Em Brasa","mail@ferroembrasa.pt"
"Pizzeria Rossini","info@pizzeriarossini.pt"
"Pizzaria Manjerona Botequim | Capuchos","info@manjerona.pt"
"Pizzaria Manjerona Botequim | Gândara","geral@manjerona.pt"
"Papadoc Caffé","papadocleiria@hotmail.com"
"Sabor & Spices","info@hotovenfoods.com"
"Telepizza Leiria","contacto@telepizza.pt"
"Pizza Hut Leiria","info@pizzahut.pt"
"Que Seja Brigadeiro","geral@quesejabrigadeiro.com"
"Sta Clara Café","info@staclaracafe.com"
"Nekob Café Maroc","geral@nekob.pt"
"The Monkey Business Bar","info@themonkeybusinessbar.com"
"Chico Lobo","geral@chicolobo.pt"
"B & B Hotel Leiria Fátima","hotel.leiria@hotelbb.com"
"Eurosol Hotel","geral@eurosol.pt"
"Ibis Leiria Fatima","h3340@accor.com"
"Hotel Dom Dinis","info@hotelddinis.pt"
"Hotel Stay Hotel","info@saoluishotel.com"
"Tryp Leiria Hotel","tryp.leiria@trypportugal.com"
"Magnolia Bed & Breakfast","info@magnolia-bed-breakfast.viajaremportugal.top"
"Pinhal Litoral","pinhal-litoral@hotmail.com"
"La Palma Hostel Leiria","exemplo@meusite.com"
"Cargal Leiria","info@cargalleiria.traveleto.com"
"Forest Villas","info@forestvillas.pt"
"Guest House Eça","info@leiria.com.es"
"Hotel Leiria Classic","geral@hotelleiriaclassic.pt"
"Porta 20 Boutique Guesthouse","ola@porta20leiria.com"
"Leiria Side","geral@booking.com"
"Shellter Vieira Apartments","book@shellter.pt"
"Pastelaria Costa","ocultodopao@gmail.com"
"Brisanorte Pastelarias","encomendas@brisanorte.pt"
"Pão Do Marquês","info@paoquentepastelarias.com"
"O Pasteleiro","luis_del_pastel@hotmail.com"
"O Toinito","geral@otoinito.pt"
"Studio Webe Hair | Salão De Beleza Em Leiria","info@studiowebehair.com"
"Beija Flor Salão De Beleza","ada7santos@gmail.com"
"Clau Morais","info@claumorais.digiserv.pt"
"Coisas De Mulher | Estético E Cabeleireiros De Leiria","info@coisasdemulher.pt"
"Jb Hair Concept | Especialista Em Loiros | Corte | Caracóis","info@julianabritto.pt"
"Ana Pink . Colorist","info@anapink.pt"
"Nf Espaço De Beleza","contact@360porto.com"
"Idi Bonapace","info@idibonapace.pt"
"Barbearia Gil Barber Leiria","info@online.maapp.com.br"
"Dr. Barber","info@drbarber.pt"
"Barbearia Of Brothers","info@barbeariaofbrothers.pt"
"Barbearia | Leiria | Studio Dg21","info@dg21.pt"
"Evolution Men’s Salon","help.pt@booksy.com"
"Will Barber Shop","info@app.mybarber.io"
"Leiria Barbershop","lenilton_zius@hotmail.com"
"Barba Negra Leiria","info@barbanegra.pt"
"Blackrazor","brunojgp@hotmail.com"
"Cortes De Leiriashopping","geral@cortesdelisboa.pt"
"Bravo’s Barber Shop","geral@bravosbarbershop.pt"
"Hebrom Barbearia E Estética","fmapefatoresassociados@gmail.com"
"António Lopes","geral@antonio-lopes.pt"
"Fred's","info@freds.pt"
"Studio Cris Bandeira Nails Concept","info@instagran.com"
"Unhas De Gel Em Leiria Studio Delas","contacto@studiodelas.com"
"Davina Mendes Manicure Na Cidade De Leiria","info@davinamendes.com"
"Extraordinary Beauty Skills","reservas@sites.google.com"
"Vanessa Moraes Nails","reservas@wa.me"
"H2o Estética Leiria","geral@h2oconcept.pt"
"Le Beauty Studio | Cabeleireiro E De Estética | Alisamento | Manicure | Esteticista Em Leiria","info@studiolebeauty.digiserv.pt"
"My Beauty | Leiria","info@studiomybeauty.pt"
"Perfect Woman","info@fb.watch"
"Nika Beauty Art","reservas@360porto.com"
"Sense Clinic","geral@senseclinic.pt"
"Bodyconcept Leiria","leiria@bodyconcept.pt"
"Aurum Head Spa","geral@aurumheadspa.com"
"Lisderma Anti Aging Clinic – Drenagem Linfática","geral@lisderma.pt"
"Skinage Clinic","contacto@skinage.pt"
"Clinica You Care","info@clinicayoucare.com"
"Relevanterelax Spa","info@relevanterelaxspa.pt"
"Leiriestética","comercial@leiriestetica.pt"
"O Espaço Da Rakkel | Estética & Aromaterapia Em Leiria","info@oespacodarakkel.com"
"Hair Spa By Beatriz Brites","beatrizbrites98@gmail.com"
"Osíris Wellness Clinic | Massagens Leiria","osiriswellnessclinic@gmail.com"
"Espaço T","geral@spaespacot.pt"
"Mandalay Spa","bspa@karinherzog.pt"
"Kasullo Spaço","kasullospaco21@gmail.com"
"Genuine Tantric Leiria","info@genuine-tantric.com"
"Lisotel","info@lisotel.com"
"Nature Head Spa","info@natureheadspa.pt"
"Infinity Head Spa Leiria","infinityheadspa8@gmail.com"
"Your Hotel & Spa Alcobaça","reservas@yourhotelspa.com"
"Espaço Turka Zen","Espacoturkazen@gmail.com"
"Monte Real Hotel","info@termasdemontereal.pt"
"Edianne Massagem Leiria","info@ediannemassage.com"
"Hotel Mar E Sol & Spa","reservas@hotelmaresol.com"
"Maria Dos Cacos","info@19tile.pt"
"Restaurante Adega Do Albertino","geral@adegadoalbertino.pt"
"Restaurante Sabores D'itália","info@domain.com"
"Maratona Café Restaurante","info@maratona.tv"
"Restaurante Delhi Darbar","info@delhidarbar.pt"
"Taberna Do Manelvina","tabernadomanelvina@gmail.com"
"A Casa Do Bingre","geral@hamburgueriaacasadobingre.pt"
"Cais Do Parque . Garden Restaurant","info@caisdoparque.com"
"Pizzaria Dona Branca","info@donabranca.pizza"
"Bella Milano","Bellamilano991@gmail.com"
"Domino’s Pizza Caldas Da Rainha","geral@dominospizza.pt"
"Telepizza Caldas Da Rainha","contact@telepizza.pt"
"Bowling Caldas","geral@bowlingcaldas.com"
"Pizza Hut","geral@pizzahut.pt"
"Café-pastelaria Central","info@cafecentralcaldas.com"
"Unique Coffee Specialty Coffee Shop","uniquecoffee.pt@gmail.com"
"Café Sedas","geral@sedascafe.com"
"Ørigem Specialty Coffee Shop & Roasters","info@origem-coffee.com"
"Dimas Café • Caldas Da Rainha","dimasmandrade@gmail.com"
"Cabaret Voltaire Lounge","info@cabaretvoltairelounge.com"
"Daiquiri Bar","info@daiquiri-bar.com"
"Bar Cidade Nova","info@nails.com"
"Cervejaria O Litro","info@grupolitro.com"
"Caldas Internacional Hotel","info@caldasinternacionalhotel.com"
"19tile","sales@unlockhotels.com"
"Sana Silver Coast Hotel","reservations@sanahotels.com"
"Nova Delpa","novadelpa@gmail.com"
"D. Carlos Residencial","domcarlosportugal@gmail.com"
"Hotel Dona Leonor","reservas@hoteldonaleonor.pt"
"Be One Hotel Caldas Da Rainha","info@beonecaldas.com"
"Hotel Cristal Caldas","booking2@hoteiscristal.pt"
"Olhos Pretos","info@olhospretos.com"
"Hotel Vila D'óbidos","geral@hotelviladobidos.pt"
"Inatel Foz Do Arelho","inatel.foz@inatel.pt"
"Água D'alma Hotel","geral@aguadalma.pt"
"Casa Dos Capinha","info@casa-dos-capinha.com.es"
"Silverside Holidays","info@silverside.pt"
"Pérola D'óbidos T1","contacto@hoteisdirect.com"
"Bordallo’s Lodge","bordalloslodge@gmail.com"
"Sunshine Hostel","info@sunshineguesthouses.com"
"Dream City Home 2","info@caldas-da-rainha.com.es"
"Casa Dos Poetas","info@casadospoetas.traveleto.com"
"Casa Do Sol Wellness Homestay & Coliving","ola@casadosolretreat.com"
"Alojamento Local Monte Horeb","info@alojamento-local-monte-horeb.com"
"Silver Coast","info@roamersresidence.eu"
"Casa Das Margaridas","info@casamargaridasbnb.com"
"Calé","info@confeitariacomtradicao.pt"
"Pastelaria Pingo De Mel","info@codigopostal.ciberforma.pt"
"Ana Saramago Hairdressers","info@anasaramagocabeleireiros.pt"
"Pretty Hair And Beauty","info@spa.massage.ivof.com"
"Luis Sousa Hair Style","info@luis-sousa-hair-style.buk.pt"
"Style Place Barbershop","contacto@styleplace.pt"
"Barba Negra","Barbanegracaldas@gmail.com"
"Lucky Anchor","barbearialuckyanchor@gmail.com"
"Spot By Malibu","info@spotbymalibu.buk.pt"
"Hn Hit Nails","apoiocliente@sandrafranciscoacademy.com"
"Cristiana Martins | Estética Nails & Makeup","booking@360porto.com"
"Do Your Nails Here | Susana Leandro","info@linkbio.co"
"Aura | Nail Designer By Mariana Leão","info@beautybookapp.com.br"
"Clínica De Beleza Letícia Guedes","info@glowextension.com"
"Jeane Sousa Beauty | Caldas Da Rainha","booking@wa.me"
"Bodyconcept Caldas Da Rainha","saojoao@bodyconcept.pt"
"Paradox Clinica Estética","geral@linkbio.co"
"The Wellness Clinic","thewellnesscliniccr@gmail.com"
"Joana Casimiro","joanacasimiro.makeup@gmail.com"
"All About Beauty & Health","hello@theme.com"
"Ema Oliveira","info@ema-oliveira.buk.pt"
"Mayan / The Experience Spa","info@mayan-the-experience.com"
"Taverna Antiqua","tavernaantiqua@gmail.com"
"Restaurante O Picadeiro","restaur_picadeiro@sapo.pt"
"Sabores Ao Rubro","hugoaso@hotmail.com"
"Bela Vista","geral@abelavista.pt"
"O Tabuleiro","info@restaurantetabuleiro.wordpress.com"
"Tasquinha Da Mitas","info@tasquinhadamitas.com"
"Adn Bistrot","adntomar@gmail.com"
"Moustache Tapas Tomar","info@reserve.dish.co"
"Fernandos' Brewery","info@cervejariadofernando.com"
"Star Kebab & Pizza Tomar","info@star-kebab-and-pizza-tomar.g4r.net"
"Telepizza Tomar","reservas@telepizza.pt"
"Cafe Tendinha","info@cafetendinha.com"
"Capitulo Cafe","geral@codigopostal.ciberforma.pt"
"Lodge Restaurant","info@restaurantelodge.com"
"Thomar Boutique Hotel","info@thomarboutiquehotel.com"
"Hotel Cavaleiros De Cristo","hotelcavcristo@gmail.com"
"Hotel Dos Templários","denuncia.int@hoteldostemplarios.pt"
"Hostel 2300 Thomar","info@hostel2300thomar.com"
"Estalagem De Santa Iria","info@estalagemsantairia.pt"
"Hotel República Boutique Hotel","booking@hotelrepublica.pt"
"Casa Dos Ofícios","info@cdohotel.com"
"Hotel Kamanga","mail@hotelkamanga.com"
"Guest House","thomarstory@gmail.com"
"Pensão Residencial Luanda","pensaoluanda@gmail.com"
"O Paço Exclusive Accommodation","geral@pacotomar.pt"
"Residencial Luz","info@residencialluz.com"
"Family House Cup","familyhousecup@gmail.com"
"Residencial Hostel","avenidahostel@icloud.com"
"Estrelas De Tomar","estrelasdetomar@hotmail.com"
"Brutu's Barber Shop","geral@brutusbarbershoptomar.com"
"Westcoast Barbershop","info@joaotaveirabarbeiro.buk.pt"
"Satsanga Spa Tomar","info@my.vilagale.com"
"Cátia Santos","info@catiasantosmassagens.pt"
"Quinta De São Pedro De Tomar","info@quintadesaopedrodetomar.com"
"Casa Dos Torricados","geral@censantarem.pt"
"Restaurante Pátio Da Graça","geral@patiodagraca.pt"
"Taberna Do Quinzena","info@tabernadoquinzena.com"
"Taberna Do Quinzena Ii","geral@tabernadoquinzena.com"
"Taberna Ó Balcão","info@tabernaobalcao.com"
"Di Gusto","digusto.digusto@gmail.com"
"Restaurante Oh!vargas","info@ohvargas.pt"
"Restaurante Luís Dos Leitões","info@luisdosleitoes.com"
"Nice Pizza","info@nicepizza.pt"
"Giulietta","marketing@elgalego.pt"
"Telepizza Santarém","booking@telepizza.pt"
"Pizza Hut Santarém","contacto@pizzahut.pt"
"Hamburgueria Da Baixa","info@hamburgueriadabaixa.com"
"Café Portugal","info@guiacomerciodesantarem.com"
"Kikas","clubkikaslasiesta@gmail.com"
"Xantarim Bar","info@xantarimbar.localo.site"
"Arinto & Touriga","geral@arintoetoruriga.pt"
"Sem Pressa","info@sempressa.pt"
"A Casa Brava","info@acasabrava.pt"
"Tagus Host","info@tagushost.pt"
"N1 Hostel Apartments & Suites","info@n1hostelapartments.com"
"Quinta Da Gafaria","reservas.quintagafaria@gmail.com"
"Hotel Umu","reservas@umu.pt"
"Villa Graça","reservas@villagraca.pt"
"Quinta Da Cabrita","info@quintadacabrita.pt"
"Santarém Hotel","info@verdihotels.com"
"Mappi","info@mappi.mystrikingly.com"
"Dominio Vale Flores","atelier@valeflores.com"
"Pátio Das Ribeiras","hello@patiodasribeiras.com"
"Refúgio Da Quinta Nere Maitia","info@quintaneremaitia.com"
"Casa Da Alcáçova","slcs@me.com"
"Albergue Dois Caminhos","info@albergue-dois-caminhos.negocio.site"
"Hostel O Torneiro","hostelotorneiro@gmail.com"
"Casal Da Lapa","info@casaldalapa.pt"
"Alojamento Pinheirinha Guest House","info@quintadapinheira.pt"
"Casa Das Flores","info@matthew-recomends-you.eu"
"São Miguel House","info@saomigueldocarvalhal.hotelgo.top"
"Patrícia Leite Hair Makeup Studio","info@studiopatricialeite.pt"
"Kelly Gouveia","kellyribeiro@sapo.pt"
"Utopia Concept Barbearia","info@barb.page.link"
"Dora Cabeleireiros","info@g.page"
